Homonym,Index,S1,S2,S3
feel,0-1,I made the students feel different about themselves .,,He felt his flesh crawl .
make,45020,Make my day .,,Make revolution .
shake,0-6,Shake one 's head .,,The bad news shook her hopes .
read,4-0,The gauge read ` empty ' .,,Read the advertisement .
lead,44990,The police are following a promising lead .,,We were just waiting for someone to take the lead .
piece,44927,It was a nice piece of work .,,It is down the road a piece .
keep,45020,Keep food for a week in the pantry .,,There 's little to earn and many to keep .
space,0-1,It all happened in the space of 10 minutes .,,They tested his ability to locate objects in space .
cut,41699,Cut grain .,,Cut a disk .
see,44989,I want to see whether she speaks French .,,Could you see about lunch ?
move,45021,I move to repel the rule regarding obligatory school uniform .,,He moved his hand slightly to the right .
wall,44958,His back was to the wall .,,The container 's walls were blue .
hold,44941,Hold your breath .,,He 's held by a contract .
bounce,0-0,Bounce a check .,,The rubber ball bounced .
go,45023,This chair has got to go .,,The policemen went from door to door looking for the suspect .
place,44991,He lost his place on the page .,,Grosvenor Place .
pick,1-0,To pick rags .,,She finally picked her successor .
keep,0-2,Keep potatoes fresh .,,Keep notes .
touch,0-2,The two buildings touch .,,Are you all right ? You 've hardly touched your lunch .
follow,44928,"When he lectures , I can not follow .",,Follow the trail .
raise,44988,"To raise a wall , or a heap of stones .",,The President raised several million dollars for his college .
home,0-1,There 's no place like home .,,The teacher asked how many people made up his home .
keep,0-2,May God keep you .,,She keeps an apartment in Paris for her shopping trips .
draw,44990,Draw a line .,,"To draw a memorial , a deed , or bill of exchange ."
hold,14-0,I hold him personally responsible .,,The bridge held .
point,8-0,"10.5 ( "" ten point five "" ; = ten and a half ) .",,He stuck the point of the knife into a tree .
hold,45017,To hold true .,,He 's held by a contract .
face,44927,Dew dripped from the face of the leaf .,,He looked out at a roomful of faces .
swing,45078,The party went with a swing .,,He took a wild swing at my head .
action,45019,A rifle action .,,Gawkers always try to get as close to the action as possible .
production,44929,The production of white blood cells .,,They hope to increase spaghetti production next year .
side,44989,He had a pain in his side .,,The Confederate side was prepared to attack .
center,0-2,Shopping center .,,The center fumbled the handoff .
use,45110,Use your common sense .,,I ca n't use this tool .
ball,0-2,The children were playing ball in the garden .,,He played with his rubber ball in the bathtub .
trial,44938,Candidates must compete in a trial of skill .,,The trials for the semifinals began yesterday .
tame,45050,Tame the soil .,,The author finally tamed some of his potentially offensive statements .
come,45109,Come out of the closet !,,He comes from humble origins .
cycle,45078,"The "" Ring of the Nibelung "" is a cycle of four operas by Richard Wagner , the famous nineteenth-century German composer .",,A year constitutes a cycle of the seasons .
stay,44989,Stay alone .,,"After graduation , she stayed on in Cambridge as a student adviser ."
face,0-6,I wish I had seen the look on his face when he got the news .,,He looked out at a roomful of faces .
see,44958,I 'll probably see you at the meeting .,,The 1960 's saw the rebellion of the younger generation against established traditions .
treat,0-2,Treat an oil spill .,,You treated me like a fool .
trial,45143,A trial of progesterone failed to relieve the pain .,,Candidates must compete in a trial of skill .
cover,45078,Cover your head !,,The period covered the turn of the century .
give,45024,I give you two minutes to respond .,,She gave him First Aid .
raise,44928,We raise hogs here .,,Raise the price of bread .
shed,0-0,I did n't shed many tears when he left me .,,Our dog sheds every Spring .
light,44958,It brought the scandal to light .,,Put that light out !
appear,6-0,He had to appear in court last month .,,A ship appeared .
tell,0-1,He could tell that she was unhappy .,,Ellen told Helen about the situation .
time,45018,He waited a long time .,,He had a time holding back the tears .
drop,44933,Drop a hint .,,The light dropped from the ceiling .
turn,44959,Turn your palm this way .,,The company turned a good profit after a year .
play,44927,They gave full play to the artist 's talent .,,The coach drew up the plays for her team .
life,2-0,"Having experienced both , the vampire decided that he preferred (un)death to life .",,He appointed himself emperor for life .
construction,44928,He had worked in construction all his life .,,I concluded from his awkward constructions that he was a foreigner .
roll,44929,Roll your hair around your finger .,,Bill rolled the ball down the hill .
operation,45049,The power of its engine determines its operation .,,A multinational operation .
catch,0-3,We have a big barrel to catch the rainwater .,,Catch a show on Broadway .
get,2-0,Let 's get down to work now .,,She did n't get the joke .
catch,0-1,I would love to have dinner but I have to catch a plane .,,Catch the ball !
tell,0-2,He could tell that she was unhappy .,,She told him how he did it .
softness,45082,Suddenly her gigantic power melted into softness for the baby .,,He attributes the disappointing results to softness in the economy .
line,0-3,He got out of line .,,He drew a line on the chart .
header,44960,"Your header is too long ; "" Local Cannibals "" will suffice .",,He took a header into the shrubbery .
score,44958,Settling a score .,,The score was 7 to 0 .
background,2-0,They got a bad connection and could hardly hear one another over the background signals .,,He posed her against a background of rolling hills .
touch,45019,"Can he reach ? "" "" The chair must not touch the wall .",,The local Mafia wo n't touch gambling .
table,45053,It was a sturdy table .,,He entertained the whole table with his witty remarks .
plane,44987,Any line joining two points on a plane lies wholly on that plane .,,The cabinetmaker used a plane for the finish work .
find,0-1,I can not find my gloves !,,Physicists believe they found a new elementary particle .
place,45139,If you were in my place what would you do ?,,He comes from a place near Chicago .
develop,0-1,We must develop more potential customers .,,The embryo develops into a fetus .
go,44959,Go about the world in a certain manner .,,His knowledge does n't go very far .
round,44931,We enjoyed our round of the local bars .,,The story is going the rounds in Washington .
pull,45112,You 're going to have to pull harder to get that cork out of the bottle .,,The athlete pulled a tendon in the competition .
pain,0-2,Your mother is a right pain .,,As the intensity increased the sensation changed from tickle to pain .
write,44928,Please write to me every week .,,Your son has been writing on the wall .
give,44966,Give a course .,,The draft gave me a cold .
snap,45109,"If you bend it too much , it will snap .",,She snapped a picture of the President .
concatenation,44988,It was caused by an improbable concatenation of circumstances .,,A complicated concatenation of circumstances .
catch,45020,Did you catch a cold ?,,I caught some Z 's on the train .
replace,45078,Replace the book on the shelf after you have finished reading it .,,The insurance will replace the lost income .
wharf,0-1,Wharf the passengers .,,Wharf the mouth of the river .
light,0-3,"Hey , buddy , you got a light ?",,Can you shed light on this problem ?
block,0-7,Block a garment .,,He blocked the basketball player 's shot .
call,44927,He was ejected for protesting the call .,,He placed a phone call to London .
cover,44959,Cover your head !,,The President covered the fact that he bugged the offices in the White House .
set,44989,Set a broken bone .,,The moon sets at eight o'clock tonight .
section,45019,There are three synagogues in the Jewish section .,,She got a job in the historical section of the Treasury .
raise,44990,Raise an army .,,Raise your ` o ' .
hum,45109,There is a constant hum of military preparation .,,The hum of distant traffic .
hit,45018,We hit Detroit at one in the morning but kept driving through the night .,,The ball hit the fence .
mean,45023,I did n't mean to knock your tooth out .,,I 'm afraid I do n't understand what you mean .
side,45109,They always sat on the right side of the church .,,The Confederate side was prepared to attack .
drink,45081,Drink was his downfall .,,I 'd like another drink please .
number,45204,He has an unlisted number .,,He had a number of chores to do .
beat,44929,Beat the egg whites .,,Reading beats watching television .
spin,44928,Spin silk .,,The creek spun its course through the woods .
side,0-1,Which side of the tray shall I put it on ?,,He is on the purchasing side of the business .
respect,44930,Syngman Rhee kept imprisoned the Dowager Queen Yun Empress Sunjeong of the Korean Empire for fear of the respect the people held for her .,,Out of respect for his privacy .
apply,45021,I apply this rule to get good results .,,Apply for a job .
key,0-0,The key to development is economic integration .,,They were carrying two keys of heroin .
carry,44988,To carry the war from Greece into Asia .,,The jar carries wine .
go,45051,This violinist is as good as Juilliard-trained violinists go .,,How fast does your new car go ?
piece,8-0,The children acted out a comic piece to amuse the guests .,,It is not known who created this piece .
go,0-1,How did your interview go ?,,Do you think the sofa will go through the door ?
deference,44986,His deference to her wishes was very flattering .,,In deference to your wishes .
break,0-5,Break down a proof .,,I broke my foot while playing hockey .
attack,44932,The visiting team started to attack .,,I attacked the problem as soon as I got out of bed .
feel,44989,I can feel the sadness in his poems .,,She felt an object brushing her arm .
life,44928,Pottery was his life .,,He appointed himself emperor for life .
train,44929,They joined the wagon train for safety .,,"Unfortunately , the leading bridesmaid stepped on the bride 's train as they were walking down the aisle ."
shower,0-3,Her church group has planned an adoption shower .,,He took a shower after the game .
give,0-3,Give a yelp .,,The roof finally gave under the weight of the ice .
pull,44996,Pull weeds .,,I 'm pulling for the underdog .
see,44936,How nice to see you again !,,We had to see a psychiatrist .
direction,0-1,Keep going in the same direction .,,He had no direction in his life .
pull,45108,Pull the cooked chicken into strips .,,A declining dollar pulled down the export figures for the last quarter .
dig,0-0,Dig coal .,,Dig out a channel .
business,44928,They did nearly a million dollars of business over the long weekend .,,Government and business could not agree .
draw,45113,"To draw a memorial , a deed , or bill of exchange .",,"They saw that the night was quickly drawing in , so they pitched their tent ."
get,44992,You need to get permission to leave early .,,He got a girl into trouble .
face,45050,I wish I had seen the look on his face when he got the news .,,The face of the city is changing .
train,44989,Train the vine .,,She is training to be a teacher .
shake,44927,I could n't shake the car that was following me .,,The bad news shook her hopes .
beat,44960,The boat beat in the strong wind .,,The sun was beating down on us .
development,45140,In chess your should take care of your development before moving your queen .,,Recent developments in Iraq .
hold,0-2,Hold these truths to be self-evident .,,Hold your temper .
restraint,44958,Dogs should be kept under restraint .,,Legal restraints .
go,43525,This violinist is as good as Juilliard-trained violinists go .,,Get going !
case,45085,It may rain in which case the picnic will be canceled .,,A door case .
hold,45082,Hold your temper .,,The canteen holds fresh water .
taste,45021,She enjoyed her brief taste of independence .,,His cold deprived him of his sense of taste .
stay,0-0,I can only stay for an hour .,,The judge stayed the execution order .
touch,44929,Your performance does n't even touch that of your colleagues .,,I would n't touch her with a ten-foot pole .
patch,0-1,A briar patch .,,A patch of clouds .
rotate,45021,Ballet dancers can rotate their legs out by 90 degrees .,,We rotate the lead soprano every night .
drive,0-0,Drive a golf ball .,,He drives a bread truck .
foot,44986,One foot of the chair was on the carpet .,,Armored from head to foot .
turn,0-2,Turn your dance partner around .,,The alchemists tried to turn lead into gold .
post,44929,If you hurry you 'll catch the post .,,Is there any post for me ?
extension,44961,Most BASIC files use the filename extension .BAS .,,The extension of ` satellite of Mars ' is the set containing only Demos and Phobos .
set,45081,The set of prime numbers is infinite .,,The set of his mind was obvious .
fall,0-4,To fall a tree .,,He fell to his knees .
point,44929,Cut the skin with the point of the knife .,,He broke the point of his pencil .
mess,44938,A mess of porridge .,,She brought back a mess of fish to fix for supper .
unit,45049,He was a member of a special police unit .,,After the battle the soldier had trouble rejoining his unit .
air,44959,If you 've time to spare go by air .,,I need some fresh air .
conceive,45143,Assisted procreation can help those trying to conceive .,,The racist conceives such people to be inferior .
get,7-0,I just do n't get him .,,Where did she get these news ?
wash,44990,My jacket needs a wash .,,At the end of the year the accounting department showed that it was a wash .
land,44963,An industrialized land .,,They come from a faraway land .
field,0-0,There are several species of wild flowers growing in this field .,,Oil field .
stick,14-0,A stick of wood .,,The recipe calls for half a stick of butter .
force,0-0,A public force is necessary to give security to the rights of citizens .,,The forces of evil .
play,45173,Play safe .,,The tape was playing for hours .
catch,44960,We have a big barrel to catch the rainwater .,,He was caught in the act of stealing a biscuit .
hit,44995,The ball hit the fence .,,I hit the jackpot .
reduce,44961,The sauce should reduce to one cup .,,The cells reduce .
place,44928,He overstepped his place .,,A political system with no place for the less prominent groups .
time,45052,That 's three times he 's made the same mistake .,,It is time to go .
go,44927,We should go farther in this matter .,,His money went on drink .
business,45140,Show me where the business was today .,,Government and business could not agree .
bet,44961,I bet she will be there !,,You can bet on that !
element,2-0,Water is the element of fishes .,,In your element .
interpreter,2-0,She was famous as an interpreter of Shakespearean roles .,,"Programs written in the BASIC language are usually run through an interpreter , though some can be compiled ."
line,45048,They attacked the enemy 's line .,,There is a narrow line between sanity and insanity .
book,44992,He used a large book as a doorstop .,,Many readers find the first book of A Tale of Two Cities to be confusing .
sign,0-0,Charges of opposite sign .,,He posted signs in all the shop windows .
raise,0-2,Raise a shout .,,Chew with your mouth shut — were you raised in a barn ?
company,45052,The room was a mess because he had n't expected company .,,Keep the house clean ; I have company coming .
whisk,45051,The chef prepared to whisk the egg whites for the angel 's food cake .,,The President was whisked away in his limo .
keep,0-0,Keep potatoes fresh .,,I can not keep track of all my employees .
evade,45080,This difficult idea seems to evade her .,,The con man always evades .
check,44928,These stories do n't check !,,She checked for an instant and missed a step .
catch,44927,It sounds good but what 's the catch ?,,The player made an impressive catch .
drive,0-5,I drive to work every day .,,Drive a golf ball .
tap,45051,Tap beer in a bar .,,Tap an M3 thread all the way through the hole .
feel,45234,I can feel the sadness in his poems .,,It feels nice to be home again .
dig,44962,Dig salt .,,Dig out a channel .
stretch,45049,Cats stretch with equal ease and agility beyond the point that breaks a man on the rack .,,"To enjoy the picnic , we stretched out on the grass ."
block,45066,He held a large block of the company 's stock .,,"Since blocks are often defined as a single sector , the terms ` block ' and ` sector ' are sometimes used interchangeably ."
hold,44961,Hold a reception .,,The canteen holds fresh water .
piece,44931,He sacrificed a piece to get a strategic advantage .,,He wrote an interesting piece on Iran .
letter,44931,The letter of a room .,,There are twenty-six letters in the English alphabet .
set,45048,The country set .,,He did four sets of the incline bench press .
face,44959,Why the sad face ?,,He washed his face .
go,45235,These ugly billboards have to go !,,The day went well until I got your call .
hold,45020,I hold to these ideas .,,Hold your tongue .
number,44932,She preferred the black nylon number .,,I hope to become one of their number before I die .
stretch,45112,A stretch of clear water .,,He did a stretch in the federal penitentiary .
see,44986,I want to see results .,,Could you see about lunch ?
fry,45050,He 's guilty of murder — he 's going to fry .,,"If the children stay out on the beach for another hour , they 'll be fried ."
pain,3-0,The patient developed severe pain and distension .,,That kid is a terrible pain .
block,2-0,Block a nerve .,,Block a garment .
line,0-2,To line a copy book .,,Line one 's pockets .
key,44986,Some students had stolen the key to the final exam .,,He spoke in a low key .
line,44961,A washing line .,,He has a smooth line but I did n't fall for it .
start,44996,I start at eight in the morning .,,I start my day with a good breakfast .
hold,1-0,Hold one 's nose .,,Hold the bridge against the enemy 's attacks .
talk,3-0,There has been talk about you lately .,,I attended an interesting talk on local history .
reversal,44963,There was a reversal of autonomic function .,,The reversal of the image in the lens .
blow,45020,To blow a horse .,,The whales blew .
walk,0-2,We like to walk every Sunday .,,We must walk with our dispossessed brothers and sisters .
academy,45144,A riding academy .,,The French Academy .
separation,44929,The separation of wheat from chaff .,,He hid in the separation between walls .
hit,44928,We hit Detroit by noon .,,Hit a ball .
length,45052,He determined the length of the shortest line segment joining the two points .,,A length of tubing .
catch,0-2,Did you catch that allusion ?,,He caught the allusion in her glance .
catch,44929,I did n't catch your name .,,One foot caught in the stirrup .
cover,44958,Cover her face with a handkerchief .,,This should cover everyone in the group .
court,44987,The queen and her court traveled to the city to welcome back the soldiers .,,The house was built around an inner court .
strength,45021,The strength of the company 's stock in recent weeks .,,Fatigue sapped his strength .
eye,0-0,They were in the eye of the storm .,,Bright lights really hurt my eyes .
wander,44929,To wander over the fields .,,Might her husband be wandering ?
church,44991,This building used to be a church before being converted into a library .,,Our church is hosting a picnic next week .
leak,44931,I have to take a leak .,,The leaks by Chelsea Manning showed the secrets of the US military .
hold,44986,Hold in place .,,Hold these truths to be self-evident .
cover,44965,The insurance wo n't cover this .,,He covered left field .
trace,44958,Trace a pattern .,,Trace the student 's progress .
hit,0-3,We hit Detroit at one in the morning but kept driving through the night .,,He hit a home run .
keep,0-0,Can I keep my old stuffed animals ?,,I can not keep track of all my employees .
play,45083,There was too much play in the steering wheel .,,It is still my play .
position,44971,Stop running all over the field and play your position !,,Chief of Staff is the second highest position in the army .
gap,0-4,The exploring party went through the high gap in the mountains .,,There was a gap in his account .
concord,45048,Both philosophers concord on this point .,,Concord the conditions for the marriage of the Prince of Wales with a commoner .
authority,44960,Respect my authority !,,She spoke with authority .
check,44927,Check into the rumor .,,He checked my kings .
raise,44927,To raise your walking stick to defend yourself .,,A few important questions were raised after the attack .
color,45050,She used a different color for the trim .,,A white color is made up of many different wavelengths of light .
bit,0-0,He had a bit of good luck .,,A horse hates having a bit put in its mouth .
degree,0-0,He earned his degree at Princeton summa cum laude .,,Water boils at 100 degrees Celsius .
give,42491,Give a course .,,What will you give her for her birthday ?
home,45110,The teacher asked how many people made up his home .,,Deliver the package to my home .
come,44990,Come out of the closet !,,"The bill came to $ 2,000 ."
hold,0-0,Hold your tongue .,,He can hold his liquor .
give,44986,This material does n't give .,,He gave his life for his children .
go,44989,How fast does your new car go ?,,The patient went peacefully .
check,45055,Check the spelling of this word .,,Check your luggage before boarding .
development,6-0,The organism has reached a crucial stage in its development .,,Our news team brings you the latest developments .
keep,0-3,There 's little to earn and many to keep .,,Keep count .
roll,44928,Roll your hair around your finger .,,The President 's convoy rolled past the crowds .
ferment,44927,We ferment the grapes for a very long time to achieve high alcohol content .,,The Middle East is fermenting .
receive,45047,Receive letters from the front .,,He received Christ .
check,45049,Put a check mark in the box corresponding to the correct answer .,,They made a check of their equipment .
shower,44986,The game was interrupted by a brief shower .,,He took a shower after the game .
leave,44928,Leave the flowers that you see in the park behind .,,The fugitive has left the country .
see,45078,I must see your passport before you can enter the country .,,See whether you can come tomorrow .
water,44960,They were sitting by the water 's edge .,,First you have to cut off the water .
contact,44928,They claimed that they had been in contact with extraterrestrial beings .,,They forget to solder the contacts .
return,44927,On his return from Australia we gave him a welcoming party .,,The average return was about 5 % .
poison,45108,This mushrooms can poison .,,Poison someone 's mind .
beginning,44990,He was responsible for the beginning of negotiations .,,The beginning of the war .
subject,8-0,Her favorite subject is physics .,,A moving picture of a train is more dramatic than a still picture of the same subject .
office,44968,Being in office already gives a candidate a great advantage .,,The whole office was late the morning of the blizzard .
leak,0-1,A leak in a roof .,,The leaks by Chelsea Manning showed the secrets of the US military .
connection,45081,There was a connection via the internet .,,He has powerful connections .
position,0-9,Atheists do not enjoy a favorable position in American life .,,Moved from third to fifth position .
scratch,45018,Do n't scratch your insect bites !,,The lovers scratched their names into the bark of the tree .
part,45020,They resisted every effort on his part .,,Glue the two parts together .
be,45001,I may be an hour .,,"It has been three years since my grandmother died . ( similar to My grandmother died three years ago , but emphasizes the intervening period ) ."
pay,45019,She had to pay the penalty for speaking out rashly .,,He paid her off the books and in kind where possible .
turn,9-0,Turn the clay on the wheel .,,She turned to her relatives for help .
go,8-0,We should go farther in this matter .,,The day went well until I got your call .
fringe,45048,Her fringe is so long it covers her eyes .,,Interference fringe .
lift,44994,Lift one 's eyes .,,Lift potatoes .
give,44958,Give a divorce .,,Give the orders .
wave,0-1,She asked the hairdresser to wave her hair .,,She waved her gun .
right,45111,She is in the right .,,"Certain rights can never be granted to the government but must be kept in the hands of the people""- Eleanor Roosevelt ."
voice,44988,"O Marcus , I am warm'd ; my heart Leaps at the trumpet 's voice .",,A shrill voice sounded behind us .
way,44959,Did n't know the way home .,,If I had my way .
stay,45023,We stayed in Hawaii for a week .,,"After the trial period , she was asked to stay on and work full-time ."
develop,44931,Develop a market for the new mobile phone .,,Well developed breasts .
grain,44961,There was a grain of truth in what he said .,,We stored a thousand tons of grain for the winter .
rule,44960,The rule of St. Dominic .,,He determined the upper bound with Descartes ' rule of signs .
raise,44987,Raise a sad cry .,,Raised edges .
date,44958,Do you know the date of the wedding ?,,I arranged a date with my Australian business partners .
clear,44992,The check will clear within 2 business days .,,Clear the leaves from the lawn .
start,0-1,We simply could not start the engine .,,John started the party .
dish,45174,Marriage was scarcely his dish .,,She prepared a special dish for dinner .
division,2-0,Magnolias belong to the division Magnoliophyta .,,The BBC 's engineering division .
turn,0-0,Turn a key .,,Turn the clay on the wheel .
sense,45050,A sense of happiness .,,In the best sense charity is really a duty .
section,0-2,He always turns first to the business section .,,She got a job in the historical section of the Treasury .
community,0-9,The preachers and the bootleggers found they had a community of interests .,,They hoped to join the NATO community .
bank,44959,The bank is on the corner of Nassau and Witherspoon .,,He operated a bank of switches .
turn,44991,Turn the flour onto a plate .,,Turn towards me .
quota,0-1,All the salesmen met their quota for the month .,,The quota for Japanese imports was negotiated .
divinity,45142,Ancient Egyptians believed in the divinity of the Pharaohs .,,Harvard Divinity School has been teaching theology since 1636 .
fatigue,0-1,Metal fatigue .,,The soldiers were put on fatigue to teach them a lesson .
pain,45018,The pain of loneliness .,,That kid is a terrible pain .
keep,45021,I keep my specimens under glass to protect them .,,Keep my job for me while I give birth .
damage,0-1,The storm did a lot of damage to the area .,,What 's the damage ? he asked the waiter .
communicate,0-2,Communicate a disease .,,He communicated his anxieties to the psychiatrist .
give,44988,Give thought to .,,The roof finally gave under the weight of the ice .
account,44959,I expected a brief account .,,A person of considerable account .
turn,44959,"The hillside behind our house is n't generally much to look at , but once all the trees turn it 's gorgeous .",,Turn cartwheels .
vocabulary,45047,My Russian vocabulary is very limited .,,The vocabulary of any language is influenced by contacts with other cultures .
charge,45081,His charge was deliver a message .,,The charges against the estate .
setting,44958,You ca n't do that in a university setting .,,The perfect setting for a ghost story .
cover,0-1,The cover concealed their guns from enemy aircraft .,,They made a cover of a Beatles ' song .
lift,0-0,Lift potatoes .,,Lift my spirits .
difficulty,44994,They agreed about the difficulty of the climb .,,Finished the test only with great difficulty .
mouth,45051,New York is at the mouth of the Hudson .,,The jar had a wide mouth .
bitch,44927,Karma 's a bitch .,,My bitch just had puppies : they 're so cute !
live,1-0,Can you live on $ 2000 a month in New York City ?,,I lived through two divorces .
action,44964,His novels always have a lot of action .,,The action of natural forces .
presence,44931,He sensed the presence of danger .,,Any painter can benefit from the presence of a live model from which to draw .
region,45083,In the abdominal region .,,The temperate regions .
number,44927,This sweater is an all-wool number .,,It was one of the best numbers he ever did .
figure,44932,The figure was about a thousand .,,She made the best score on compulsory figures .
strike,44988,We must strike the enemy 's oil fields .,,A hammer strikes against the bell of a clock .
concoction,45143,He volunteered to taste her latest concoction .,,His testimony was a concoction .
sale,45021,He celebrated after the sale of company .,,They held a sale to reduce their inventory .
strength,45080,The strength of the company 's stock in recent weeks .,,It was destroyed by the strength of the gale .
side,44930,He was on the heavy side .,,A cube has six sides .
focus,45020,The controversy brought clearly into focus an important difference of opinion .,,The focus of activity shifted to molecular biology .
recognition,41275,A sudden recognition of the problem he faced .,,Give her recognition for trying .
spread,45052,I spread the rice grains evenly over the floor .,,The rumor spread .
court,2-0,Players had to reserve a court in advance .,,Pay court to the emperor .
face,3-0,Why the sad face ?,,I wish I had seen the look on his face when he got the news .
score,45052,He tried to blame the victim but his success on that score was doubtful .,,What was your score on your homework ?
play,0-0,The Democrats still have some cards to play before they will concede the electoral victory .,,This development played into her hands .
finish,0-0,The wine has a nutty flavor and a pleasant finish .,,Excitement grew as the finish neared .
fall,45019,Fall asleep .,,Many soldiers fell at Verdun .
leave,2-0,At what time does your train leave ?,,Her blood left a stain on the napkin .
face,45053,The face of the city is changing .,,He washed his face .
buy,45018,I 'm not going to buy your stupid excuses anymore !,,Carmen bought a dress from Diana .
catch,44959,Catch the mood .,,The Rolls Royce caught us near the exit ramp .
call,45078,I tried to call you all night .,,The new dean calls meetings every week .
confidence,0-1,After that failure he lost his confidence .,,Everyone trusted him with their confidences .
stretch,44927,Stretch out that piece of cloth .,,I always stretch my muscles before exercising .
product,0-0,His reaction was the product of hunger and fatigue .,,They improve their product every year .
treatment,0-3,His treatment of the race question is badly biased .,,A treatment or cure is applied after a medical problem has already started .
come,45173,Melons come from a vine .,,News came in of the massacre in Rwanda .
hit,0-2,He hit a home run .,,The movie hits theaters in December .
opening,45170,There was a small opening between the trees .,,The opening established the basic theme .
circus,44930,They used the elephants to help put up the circus .,,The circus will be in town next week .
slip,2-0,"She could n't hurt a fly , young slip of a girl that she is .",,He blamed his slip on the ice .
hang,2-0,Hang a door .,,The cloud of suspicion hangs over her .
conflict,44962,The conflict between the government and the rebels began three years ago .,,A conflict of loyalties .
brush,0-1,Brush away the crumbs .,,She brushed the suit before hanging it back into the closet .
stay,45110,We stayed in Hawaii for a week .,,The smell stayed in the room .
get,44996,We 'll get them !,,"Get me those books over there , please ."
point,45078,He checked the point on his compass .,,A row of points .
block,45047,Block a muscle .,,Block trains .
process,44929,Process iron .,,Process the applicants .
fall,45021,Fall into a category .,,Silly phrases fell from her mouth .
drop,45079,He had a drop too much to drink .,,A drop of 57 points on the Dow Jones index .
stock,44929,They will cut round stock to 1-inch diameter .,,His stock was so high he could have been elected mayor .
unit,44929,The team is a unit .,,A unit of wheat is a bushel .
respect,44964,She lost all respect for him .,,Be sure to give my respects to the dean .
life,7-0,"She 's my love , my life .",,He could no longer cope with the complexities of life .
bear,0-2,I can not bear his constant criticism .,,Bearing orders .
point,0-0,It 's rude to point at other people .,,The dancers toes pointed outward .
hand,44988,Give him a hand .,,Her hands are really strong .
catch,0-0,The fashion did not catch .,,He caught the allusion in her glance .
give,44988,Can I give you the children for the weekend ?,,Give a yelp .
line,44986,He 's not in my line of business .,,Historians can only point out those lines for which evidence is available .
hit,44927,The ball hit the fence .,,We hit Detroit by noon .
cover,44986,There 's a $ 15 cover tonight .,,Artillery provided cover fire for the withdrawal .
unit,44992,An idea is not a unit that can be moved from one brain to another .,,He was a member of a special police unit .
charge,45021,Charge the wagon with hay .,,The teacher charged the children to memorize the poem .
stick,1-0,Stick some feathers in the turkey before you serve it .,,Stick around and you will learn something !
life,44927,He could no longer cope with the complexities of life .,,He lived a long and happy life .
lie,45231,Do n't lie to your parents .,,He lies in his coffin .
give,45049,I 'll give you three books for four CDs .,,Give thought to .
finish,44964,The car 's finish was so shiny and new .,,"Almost an inspiration which gives to all work that finish which is almost art ""-- Joseph Conrad ."
come,0-1,Your wish will come true .,,"The bill came to $ 2,000 ."
draw,45049,Draw the curtains .,,Draw a conclusion .
have,44961,I have two sisters .,,Have another bowl of chicken soup !
spill,1-0,Spill the milk .,,The former employee spilled all the details .
give,44965,Give one 's talents to a good cause .,,Can you give me lessons ?
way,44987,Make way for .,,Did n't know the way home .
save,44987,Let 's save the packaging in case we need to send the product back .,,This will save money .
strike,0-4,Strike coins .,,The workers struck for a week before the new contract went through .
liver,45025,A high liver .,,I 'd like some goose liver pate .
keep,0-1,Keep my job for me while I give birth .,,The students keep me on my toes .
give,44927,Give an excuse .,,What will you give her for her birthday ?
thing,1-0,To say the same thing in other terms .,,She has a thing about him .
give,44927,Give the orders .,,I gave my coat to the beggar .
get,0-0,The operator could n't get Kobe because of the earthquake .,,Let 's get down to work now .
count,44928,I can count my colleagues in the opposition .,,Each answer counts as three points .
command,0-2,General Smith was placed in command .,,A good command of French .
hit,44963,Where am I going to get my next hit ?,,After three misses she finally got a hit .
rank,44958,His salary was determined by his rank and seniority .,,The entrance was guarded by ranks of policemen .
remove,0-4,Remove a case to another court .,,Doug removed the smudges .
plot,45080,The characters were well drawn but the plot was banal .,,They concocted a plot to discredit the governor .
draw,44934,"At the start of their turn , each player must draw a card .",,He spent the day drawing in the garden .
translate,44987,The renowned director could translate experience to film with ease .,,The growth in income translates into greater purchasing power .
drive,44959,You drive nails into wood with a hammer .,,We drive the turnpike to work .
pay,45205,Does she pay you for the work you are doing ?,,Pay attention .
foil,44996,Foil your opponent .,,"In this picture , the figures are foiled against the background ."
raise,45051,To raise somebody to office .,,Raise the specter of unemployment .
face,44986,Dew dripped from the face of the leaf .,,Why the sad face ?
follow,0-4,Can you follow her argument ?,,Follow a pattern .
have,44989,Have a feeling .,,I wo n't have this dog in my house !
control,0-2,Under control .,,He had lost control of his sphincters .
get,44987,Get nauseous .,,The cat got the goldfish .
be,0-0,I shall be writing to you soon .,,She is our resident philosopher .
rectify,45052,Rectify a curve .,,Rectify alternating current .
catch,44959,Catch fire .,,She caught her son eating candy .
turn,45078,Turn the clay on the wheel .,,Ivory turns well .
pay,44986,To pay attention .,,She had to pay the penalty for speaking out rashly .
title,45139,The professor did n't like his friends to use his formal title .,,He held the title for two years .
call,44927,We could always call on a friend .,,Call the outcome of an election .
do,44988,What does Bob do ? — He 's a plumber .,,This car does 150 miles per hour .
operation,45078,A multinational operation .,,It can perform millions of operations per second .
compare,45022,This car does not compare with our line of Mercedes .,,You ca n't compare my problems and yours .
life,44959,While there 's life there 's hope .,,I have known him all his life .
neighborhood,44988,My neighborhood voted for Bush .,,The price is in the neighborhood of $ 100 .
lift,44964,You never lift a finger to help me !,,Lift an embargo .
